ID;BUURT;CRIMES_2010;CRIMES_2011;CRIMES_2012;CRIMES_2013;CRIMES_2014;SAFETY_RATE_2014;CRIME_RATE_2014;GP_2013;GP_2014;GP_2015;PHARM_2014;PHARM_2015;RECR_TERR_2015;AGRI_TERR_2015;POP_2015;%NON-WEST_2015;%65PLUS_2015;%FAM_KIDS_2015;POP_2020;HOUS_2015;AVG_OCC_2015;AVG_SIZE_2015;AVG_HOUS_2015;%OWN_OCC_2015;AVG_LENGTH_STAY_2015;%LOW_INC_HOUS_2012;AVG_DISP_INC_2012;POP_0-3_2015;POP_4-12_2015;POP_13-17_2015;POP_18-22_2015;POP_23-24_2015;POP_25-49_2015;POP_50-64_2015;POP_65_2015;SURIN_2015;ANTIL_2015;TURK_2015;MAROK_2015;NON_WEST_IMM_2015;WEST_IMM_2015;AUTOCH_2015;LESS_1_RES_2015;TIME_1-4_RES_2015;TIME_5-9_RES_2015;TIME_10-14_RES_2015;TIME_15-19_RES_2015;TIME_20-24_RES_2015;PLUS_25_RES_2015;BIRTH_2010;BIRTH_2011;BIRTH_2012;BIRTH_2013;BIRTH_2014;DEATH_2010;DEATH_2011;DEATH_2012;DEATH_2013;DEATH_2014;BUSIN_2011;BUSIN_2012;BUSIN_2013;BUSIN_2014;BUSIN_2015;EMPLOY_2011;EMPLOY_2012;EMPLOY_2013;EMPLOY_2014;EMPLOY_2015;UNEMP_BEN_15-34_2015;UNEMP_BEN_35-54_2015;UNEMP_BEN_55-65_2015;SCHOOLS_2015;PROP_VALUE_*1000_2011;PROP_VALUE_*1000_2012;PROP_VALUE_*1000_2013;PROP_VALUE_*1000_2014;PROP_VALUE_*1000_2015;HOUSE_FOREC_2015;HOUSE_FOREC_2020;HOUSE_FOREC_2025;HOUSE_FOREC_2030;HOUSE_FOREC_2035;TOT_INHAB_ADD_2015;;;;;
E20;Helmersbuurt;734;920;862;739;710;85;91;12;10;12;0;0;0,00;0,00;7527;12,0;9,2;19,1;7634;4203;1,79;3,1;310;34,1;8,3;27,5;1509;383;561;223;427;272;3706;1259;696;184;68;71;107;907;1745;4875;607;1744;1325;825;633;458;1935;114;139;116;114;111;30;32;24;23;20;1257;1302;1356;1429;1509;3214;3247;3268;3459;3680;30;100;50;0;318;327;318;309;310;4203;4212;4212;4277;4277;3948;;;;;
E21;Overtoomse Sluis;552;641;615;632;558;74;72;0;0;0;1;1;0.94;0,00;7747;12,1;7,6;18,0;7915;4387;1,77;3,0;270;36,1;7,7;28,6;1233;404;434;187;349;315;4329;1140;589;170;68;81;122;940;1767;5040;742;1866;1497;864;575;481;1722;136;118;146;144;144;31;37;25;32;34;1081;1092;1154;1191;1233;2022;2021;2152;2129;2134;50;90;60;1;280;284;278;270;270;4387;4385;4385;4385;4385;4111;;;;;
E22;Vondelbuurt;527;599;632;676;732;85;91;0;1;0;1;1;2.24;0,00;1898;14,0;16,8;21,0;1920;903;2,1;3,8;595;41,1;7,8;22,2;503;74;161;78;102;61;766;337;319;55;15;6;41;266;538;1094;253;400;269;228;147;117;484;15;15;22;19;14;19;15;17;16;20;465;475;491;461;503;3381;3375;3173;2926;3017;10;10;10;0;621;621;598;564;595;903;896;896;896;896;783;;;;;
E36;Sloterdijk;285;62;162;133;90;110;108;0;0;0;0;0;40.88;0,00;399;9,3;5,8;10,7;523;220;1,81;2,6;284;7,7;3,5;0;55;18;5;7;10;25;282;29;23;8;0;1;3;37;86;276;181;79;62;17;7;5;48;2;2;0;1;7;0;0;1;1;0;26;21;30;34;55;3745;2652;2644;3739;3244;0;0;0;0;309;320;308;306;284;220;226;226;226;226;216;;;;;
E37;Landlust;1791;1788;1492;1654;1393;110;108;6;5;5;1;1;5.72;0,00;18741;45,6;7,6;24,9;19678;9273;2,02;2,9;176;25,3;8,2;33,3;1970;1037;1658;752;1229;827;9325;2492;1422;973;180;2047;3537;8550;2594;7598;1548;4006;3403;2395;1650;1445;4295;349;310;334;299;334;62;74;75;79;62;1504;1569;1723;1816;1970;3837;3726;3947;3816;4041;150;300;80;5;182;185;179;177;176;9273;9743;9947;10109;10109;8997;;;;;
E38;Erasmuspark;648;637;540;513;434;105;105;8;8;6;0;0;9.20;0,00;5898;29,8;7,1;20,9;5862;3050;1,93;3,1;172;43,0;7,7;26,7;637;325;432;163;376;265;3274;644;419;169;50;511;610;1759;1007;3132;557;1384;1166;761;518;369;1143;95;112;125;115;107;30;25;44;45;20;480;538;574;599;637;861;908;954;975;1031;50;80;20;2;185;185;177;173;172;3050;3050;3050;3050;3050;2939;;;;;
E39;De Kolenkit;519;533;623;626;516;101;92;0;1;1;1;1;7.21;0,00;9220;63,9;8,0;30,4;11016;4248;2,17;3,0;176;16,7;6,2;35,3;472;561;1019;528;864;564;3835;1111;738;588;103;1696;2645;5893;905;2422;705;2169;1418;1076;890;875;2087;100;107;130;137;157;31;49;38;48;60;239;292;361;448;472;1115;1249;1306;1323;1295;70;90;30;1;167;177;177;173;176;4248;5178;5837;5881;5881;3939;;;;;
E40;De Krommert;1109;1159;1048;1001;869;94;92;7;6;6;1;2;0,00;0,00;12985;27,6;7,9;22,8;13241;6584;1,97;3,2;210;31,0;8,3;28,6;1751;701;981;437;802;606;6704;1722;1032;536;119;722;1170;3583;2212;7190;1103;3074;2442;1491;1086;897;2892;211;203;220;205;220;49;47;43;46;41;1290;1398;1505;1608;1751;2217;2378;2474;2582;2872;100;200;50;5;219;222;215;210;210;6584;6586;6586;6586;6586;6318;;;;;
E41;Van Galenbuurt;490;444;464;421;406;102;85;4;2;4;1;2;3.88;0,00;6749;45,0;7,0;15,7;6760;3212;2,10;2,8;175;22,8;6,8;38,7;561;326;424;189;418;291;3632;997;472;614;130;564;949;3038;937;2774;949;1742;1085;715;474;420;1364;89;110;92;98;96;24;32;35;25;30;455;484;489;536;561;1605;1566;2309;2345;2109;50;90;30;1;187;187;181;174;175;3212;3214;3214;3214;3214;3108;;;;;
E42;Hoofdweg e.o.;1023;1002;950;762;764;104;89;6;6;8;1;1;0.35;0,00;10440;38,2;8,8;20,7;10588;5695;1,83;2,8;177;22,5;8,1;36,4;1148;578;826;307;566;398;5417;1429;919;583;114;915;1318;3992;1603;4845;843;2342;2030;1241;866;727;2391;179;178;189;170;187;57;53;58;65;75;904;962;1026;1101;1148;1861;1841;1831;1798;1869;90;180;60;2;188;190;182;176;177;5695;5764;5764;5764;5764;5479;;;;;
